Title,Price
"ACER Acer Nitro 17 (AN17-41-R3FU) mit 165 Hz Display mit RGB Tastaturbeleuchtung, Gaming Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 7,7840HS Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4070, Obsidian Black, Windows 11 Home (64 Bit)","1759,00€"
"MEDION E15443 (MD62621), Notebook, mit 15,6 Zoll Display, Intel® Core™ Ultra 5,125H Prozessor, 16 GB RAM, 512 GB SSD, Intel® Arc® GPU, Grau, Windows 11 (64 Bit)","699,00€"
"ASUS ROG Strix G18 G814JZR-N6008W, Gaming Notebook, mit 18 Zoll Display, Intel® Core™ i9,i9-14900HX Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4080, Schwarz/Grau, Windows 11 Home (64 Bit)","3499,00€"
"APPLE MacBook Air (2022), MLXW3D/A, Notebook mit 13,6 Zoll Display, Apple M2 Prozessor, 8 GB RAM, 256 GB SSD, M2, Space Grau","1199,00€"
"SAMSUNG Galaxy Book4 Ultra, Notebook, mit 16 Zoll Display Touchscreen, Intel® Evo™ Plattform, Intel® Core™ Ultra 7,155H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4050, Moonstone Gray, Windows 11 Home (64 Bit)","2799,00€"
"SAMSUNG Galaxy Book4 Ultra, Notebook, mit 16 Zoll Display Touchscreen, Intel® Evo™ Plattform, Intel® Core™ Ultra 9,185H Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4070, Moonstone Gray, Windows 11 Home (64 Bit)","3699,00€"
"SAMSUNG Galaxy Book4 Pro, Notebook, mit 16 Zoll Display Touchscreen, Intel® Evo™ Plattform, Intel® Core™ Ultra 7,155H Prozessor, 16 GB RAM, 512 GB SSD, Intel® Arc® GPU, Moonstone Gray, Windows 11 Home (64 Bit)","1999,00€"
"SAMSUNG Galaxy Book 4 Edge, Copilot+ PC, mit 14 Zoll Display, Qualcomm Snapdragon X Elite, 16 GB RAM, 512 GB SSD, Qualcomm Adreno™ Onboard Graphics, Sapphire Blue, Windows 11 Home (64 Bit)","1699,00€"
"SAMSUNG Galaxy Book4 Pro, Notebook, mit 14 Zoll Display Touchscreen, Intel® Evo™ Plattform, Intel® Core™ Ultra 7,155H Prozessor, 16 GB RAM, 512 GB SSD, Intel® Arc® GPU, Moonstone Gray, Windows 11 Home (64 Bit)","1899,00€"
"SAMSUNG Galaxy Book 4 Edge, Copilot+ PC, mit 16 Zoll Display, Qualcomm Snapdragon X Elite, 16 GB RAM, 512 GB SSD, Qualcomm Adreno™ Onboard Graphics, Sapphire Blue, Windows 11 Home (64 Bit)","1799,00€"
